sim,year,month,type,type_time,obd
7.6188723e-04,2000,1,Flow(m3/s),Flow(m3/s)-2000-1,6.4500000e-06
7.5931394e-05,2000,2,Flow(m3/s),Flow(m3/s)-2000-2,0.0000000e+00
1.5190294e-04,2000,3,Flow(m3/s),Flow(m3/s)-2000-3,1.2900000e-04
1.4067767e-03,2000,4,Flow(m3/s),Flow(m3/s)-2000-4,1.2000000e-04
1.2721230e-03,2000,5,Flow(m3/s),Flow(m3/s)-2000-5,1.0260000e-03
1.1546897e-03,2000,6,Flow(m3/s),Flow(m3/s)-2000-6,9.0000000e-04
1.9608143e-10,2000,7,Flow(m3/s),Flow(m3/s)-2000-7,0.0000000e+00
1.0420000e-13,2000,8,Flow(m3/s),Flow(m3/s)-2000-8,0.0000000e+00
6.6491286e-05,2000,9,Flow(m3/s),Flow(m3/s)-2000-9,0.0000000e+00
1.3077803e-03,2000,10,Flow(m3/s),Flow(m3/s)-2000-10,0.0000000e+00
1.8536016e-02,2000,11,Flow(m3/s),Flow(m3/s)-2000-11,1.3320000e-02
8.4086584e-03,2000,12,Flow(m3/s),Flow(m3/s)-2000-12,9.4650000e-03
3.4615825e-03,2001,1,Flow(m3/s),Flow(m3/s)-2001-1,8.6030000e-03
2.2621323e-03,2001,2,Flow(m3/s),Flow(m3/s)-2001-2,3.8040000e-03
4.2300651e-03,2001,3,Flow(m3/s),Flow(m3/s)-2001-3,8.9260000e-03
4.0305217e-08,2001,4,Flow(m3/s),Flow(m3/s)-2001-4,3.3300000e-06
6.6782045e-04,2001,5,Flow(m3/s),Flow(m3/s)-2001-5,0.0000000e+00
1.0757551e-03,2001,6,Flow(m3/s),Flow(m3/s)-2001-6,1.0000000e-04
2.6964522e-06,2001,7,Flow(m3/s),Flow(m3/s)-2001-7,0.0000000e+00
1.1909494e-02,2001,8,Flow(m3/s),Flow(m3/s)-2001-8,4.8290000e-03
1.4296960e-03,2001,9,Flow(m3/s),Flow(m3/s)-2001-9,1.9000000e-03
3.3521157e-03,2001,10,Flow(m3/s),Flow(m3/s)-2001-10,1.2580000e-03
4.6040706e-03,2001,11,Flow(m3/s),Flow(m3/s)-2001-11,3.3700000e-03
1.6430836e-02,2001,12,Flow(m3/s),Flow(m3/s)-2001-12,1.8840000e-02
7.6872301e-05,2002,1,Flow(m3/s),Flow(m3/s)-2002-1,1.7420000e-04
2.5158124e-03,2002,2,Flow(m3/s),Flow(m3/s)-2002-2,2.6930000e-03
3.1942308e-03,2002,3,Flow(m3/s),Flow(m3/s)-2002-3,3.0810000e-03
7.1667496e-04,2002,4,Flow(m3/s),Flow(m3/s)-2002-4,8.5670000e-04
1.5852067e-03,2002,5,Flow(m3/s),Flow(m3/s)-2002-5,5.4800000e-05
2.8692064e-04,2002,6,Flow(m3/s),Flow(m3/s)-2002-6,0.0000000e+00
2.6462082e-03,2002,7,Flow(m3/s),Flow(m3/s)-2002-7,3.5810000e-04
3.2679510e-04,2002,8,Flow(m3/s),Flow(m3/s)-2002-8,0.0000000e+00
4.6684817e-06,2002,9,Flow(m3/s),Flow(m3/s)-2002-9,0.0000000e+00
1.4692213e-02,2002,10,Flow(m3/s),Flow(m3/s)-2002-10,9.8000000e-03
2.1938788e-03,2002,11,Flow(m3/s),Flow(m3/s)-2002-11,1.8770000e-03
9.6219696e-03,2002,12,Flow(m3/s),Flow(m3/s)-2002-12,1.5150000e-02
2.6890198e-05,2003,1,Flow(m3/s),Flow(m3/s)-2003-1,2.6450000e-04
9.5021607e-03,2003,2,Flow(m3/s),Flow(m3/s)-2003-2,1.3030000e-02
1.3591898e-03,2003,3,Flow(m3/s),Flow(m3/s)-2003-3,4.0900000e-03
6.3899467e-09,2003,4,Flow(m3/s),Flow(m3/s)-2003-4,0.0000000e+00
9.2131751e-04,2003,5,Flow(m3/s),Flow(m3/s)-2003-5,1.0650000e-04
9.1760254e-04,2003,6,Flow(m3/s),Flow(m3/s)-2003-6,1.8000000e-04
2.5073372e-04,2003,7,Flow(m3/s),Flow(m3/s)-2003-7,0.0000000e+00
5.5549352e-04,2003,8,Flow(m3/s),Flow(m3/s)-2003-8,0.0000000e+00
1.5828456e-03,2003,9,Flow(m3/s),Flow(m3/s)-2003-9,0.0000000e+00
7.8931042e-03,2003,10,Flow(m3/s),Flow(m3/s)-2003-10,3.0320000e-03
3.3867537e-04,2003,11,Flow(m3/s),Flow(m3/s)-2003-11,0.0000000e+00
3.4840568e-04,2003,12,Flow(m3/s),Flow(m3/s)-2003-12,0.0000000e+00
